Date,Open,High,Low,Close,Adj Close,Volume,Day 
2019-12-17,247.330002,247.570007,245.800003,247.089996,237.478745,324700,1461
2019-12-18,247.580002,247.580002,246.059998,246.960007,237.353836,321300,1462
2019-12-19,247.949997,248.949997,246.759995,248.949997,239.266449,354500,1463
2019-12-20,250.679993,251.910004,249.509995,251.320007,241.544266,345200,1464
2019-12-23,253.289993,253.419998,251.800003,252.119995,242.313126,452100,1465
2019-12-24,252.679993,252.740005,251.25,252.529999,242.707199,168100,1466
2019-12-26,253.600006,253.600006,251.880005,252.820007,242.985901,218000,1467
2019-12-27,253.860001,253.860001,251.470001,252.320007,242.505386,368000,1468
2019-12-30,252.259995,252.259995,248.699997,250.419998,240.679245,372900,1469
2019-12-31,249.119995,251.229996,249,251.100006,241.332825,201500,1470
2020-01-02,254.259995,256.290009,253,256.290009,246.320938,425100,1471
2020-01-03,252.339996,253.710007,250.960007,251.509995,241.726837,411700,1472
2020-01-06,248.350006,249.690002,247.259995,248.889999,239.208771,538400,1473
2020-01-07,251.990005,254.470001,250.5,253.470001,243.610611,382200,1474
2020-01-08,253.970001,254.949997,252.160004,253.240005,243.389572,432600,1475
2020-01-09,256.76001,256.76001,252.440002,254.839996,244.927307,213200,1476
2020-01-10,256.459991,256.459991,252.619995,253.360001,243.504898,650700,1477
2020-01-13,255.130005,256.679993,254.350006,256.320007,246.349762,316700,1478
2020-01-14,257,259.040009,255.539993,256.880005,246.887955,298800,1479
2020-01-15,257.23999,257.359985,253.110001,254.160004,244.273804,505500,1480
2020-01-16,256.119995,258.279999,255.940002,258.179993,248.137421,569500,1481
2020-01-17,259.75,260.119995,258.079987,260.119995,250.001907,338900,1482
2020-01-21,259.100006,260.869995,258.880005,259.970001,249.857819,551100,1483
2020-01-22,261.880005,264.630005,261.119995,261.720001,251.539764,417100,1484
2020-01-23,262.720001,263.940002,260.329987,263.700012,253.442719,359100,1485
2020-01-24,267.549988,267.929993,259.079987,260.899994,250.751556,542100,1486
2020-01-27,253.5,254.009995,250.429993,250.940002,241.179016,1070700,1487
2020-01-28,253.779999,257.660004,252.369995,256.76001,246.772644,803500,1488
2020-01-29,255.850006,256.48999,251.889999,252.039993,242.236237,414100,1489
2020-01-30,250.649994,252.789993,247.100006,252.050003,242.245834,580600,1490
2020-01-31,249.740005,249.940002,241.899994,243.059998,233.605576,718500,1491
2020-02-03,243.800003,246.380005,243.639999,245.779999,236.219727,573100,1492
2020-02-04,252.330002,253.839996,251.070007,253.460007,243.600998,821700,1493
2020-02-05,258.290009,259.73999,255.470001,259.299988,249.213791,669700,1494
2020-02-06,259.209991,259.579987,256.320007,259.450012,249.358017,356200,1495
2020-02-07,256.399994,256.850006,253.020004,253.330002,243.476074,516900,1496
2020-02-10,250.970001,257.019989,250.970001,256.880005,246.887955,404300,1497
2020-02-11,259.369995,263.589996,259.369995,262.070007,251.876144,377500,1498
2020-02-12,265,266.5,264.76001,266.109985,255.758942,518300,1499
2020-02-13,263.910004,268.119995,263.589996,266.390015,256.028046,560600,1500
2020-02-14,268.480011,269.359985,264.170013,265.5,255.172668,455600,1501
2020-02-18,261.470001,262.51001,260.089996,262.089996,251.895309,803300,1502
2020-02-19,265.420013,269.200012,265.420013,268.700012,258.248199,525100,1503
2020-02-20,267.859985,268.570007,260.899994,264.799988,254.499847,767100,1504
2020-02-21,262.959991,263.190002,255.910004,256.929993,246.936035,826400,1505
2020-02-24,244.869995,248.360001,243,244.619995,235.104858,1262200,1506
2020-02-25,247.899994,248.270004,235.910004,237.330002,228.098419,1709200,1507
2020-02-26,239.279999,242.869995,236.199997,237.649994,228.405975,1508400,1508
2020-02-27,230.580002,235.309998,226.270004,226.679993,217.862671,1390700,1509
2020-02-28,218.779999,233.309998,218.119995,231.789993,222.773941,1596300,1510
2020-03-02,235.899994,240,228.309998,240,230.664566,1379200,1511
2020-03-03,241.070007,244.210007,230,231.550003,222.543228,909900,1512
2020-03-04,236.660004,243.380005,233.190002,243.380005,233.913086,1118600,1513
2020-03-05,237.350006,242.160004,234.080002,236.050003,226.86821,1182900,1514
2020-03-06,228.880005,233.070007,225.330002,230.889999,221.90892,1617200,1515
